http://www.w3.org/1999/02/22-rdf-syntax-ns#type	BIBFRAME	bibliotek-o usage
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/RecordingMethod	http://id.loc.gov/ontologies/bibframe/RecordingMethod
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ReductionRatio	http://id.loc.gov/ontologies/bibframe/ReductionRatio
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/RegionalEncoding	http://id.loc.gov/ontologies/bibframe/RegionalEncoding
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ReportNumber	http://id.loc.gov/ontologies/bibframe/ReportNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Resolution	http://id.loc.gov/ontologies/bibframe/Resolution
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/RetentionPolicy	http://id.loc.gov/ontologies/bibframe/RetentionPolicy
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Scale	http://id.loc.gov/ontologies/bibframe/Scale
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Script	http://id.loc.gov/ontologies/bibframe/Script
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ShelfMark	http://id.loc.gov/ontologies/bibframe/ShelfMark
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ShelfMarkDdc	http://id.loc.gov/ontologies/bibframe/ShelfMarkDdc
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ShelfMarkLcc	http://id.loc.gov/ontologies/bibframe/ShelfMarkLcc
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ShelfMarkNlm	http://id.loc.gov/ontologies/bibframe/ShelfMarkNlm
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ShelfMarkUdc	http://id.loc.gov/ontologies/bibframe/ShelfMarkUdc
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Sici	http://id.loc.gov/ontologies/bibframe/Sici
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/SoundCharacteristic	http://id.loc.gov/ontologies/bibframe/SoundCharacteristic
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/SoundContent	http://id.loc.gov/ontologies/bibframe/SoundContent
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Status	http://id.loc.gov/ontologies/bibframe/Status
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/StillImage	http://id.loc.gov/ontologies/bibframe/StillImage
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/StockNumber	http://id.loc.gov/ontologies/bibframe/StockNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Strn	http://id.loc.gov/ontologies/bibframe/Strn
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/StudyNumber	http://id.loc.gov/ontologies/bibframe/StudyNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Sublocation	http://id.loc.gov/ontologies/bibframe/Sublocation
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/SupplementaryContent	http://id.loc.gov/ontologies/bibframe/SupplementaryContent
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/SystemRequirement	http://id.loc.gov/ontologies/bibframe/SystemRequirement
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/TactileNotation	http://id.loc.gov/ontologies/bibframe/TactileNotation
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/TapeConfig	http://id.loc.gov/ontologies/bibframe/TapeConfig
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Temporal	http://id.loc.gov/ontologies/bibframe/Temporal
